address,delta t+1,delta t+5,delta t+10,delta t+15,delta t+30,delta t+60,delta t+120
112newSdxAgsTGSyn53iScFKaJBMNRh6qb,"{'count': 0, 'volume': 0}","{'count': 4, 'volume': 0.021410060110110662}","{'count': 6, 'volume': 0.041358247286413435}","{'count': 6, 'volume': 0.03552572358280717}","{'count': 6, 'volume': 0.043658177723149276}","{'count': 6, 'volume': 0.0314927345514861}","{'count': 8, 'volume': 0.06412718696660093}"
113uyH5gL2aRrsa9td2YPhKNxoEezgRiH5,"{'count': 0, 'volume': 0}","{'count': 9, 'volume': 0.13205991115680585}","{'count': 5, 'volume': 0.07613872087060185}","{'count': 5, 'volume': 0.07352119834207059}","{'count': 6, 'volume': 0.09544530607603341}","{'count': 8, 'volume': 0.12151054044847785}","{'count': 7, 'volume': 0.10623366796107078}"
114vAnqo7d2HsVdCLNJyA6Jq3wKaMNQak4,"{'count': 0, 'volume': 0}","{'count': 13, 'volume': 0.09772250409358474}","{'count': 17, 'volume': 0.14620278257373526}","{'count': 12, 'volume': 0.09834772038503398}","{'count': 14, 'volume': 0.13279530139781875}","{'count': 14, 'volume': 0.10895973290663225}","{'count': 17, 'volume': 0.13946106222581092}"
11gP5frWs6DDdZvKssNqNFHE9nmojm8XN,"{'count': 0, 'volume': 0}","{'count': 9, 'volume': 0.2899768166911265}","{'count': 9, 'volume': 0.2813923977196437}","{'count': 7, 'volume': 0.21642162670337178}","{'count': 15, 'volume': 0.4423330040215524}","{'count': 15, 'volume': 0.46098412579754544}","{'count': 15, 'volume': 0.4651800199332873}"
1219LtRhShYUgit5EucGqB1CWXKi8ER7j1,"{'count': 0, 'volume': 0}","{'count': 2, 'volume': 0.030691004346410936}","{'count': 1, 'volume': 0.020433292291285748}","{'count': 2, 'volume': 0.030691004346410936}","{'count': 1, 'volume': 0.020433292291285748}","{'count': 1, 'volume': 0.020433292291285748}","{'count': 1, 'volume': 0.020433292291285748}"
123Ex5pzvMgknKyFMqzH23TosQ5dfSsFb6,"{'count': 0, 'volume': 0}","{'count': 0, 'volume': 0}","{'count': 0, 'volume': 0}","{'count': 0, 'volume': 0}","{'count': 0, 'volume': 0}","{'count': 0, 'volume': 0}","{'count': 1, 'volume': 0.039247791520063566}"
1247cXf4xSz1xnDPobviTEJ3W43nRAGUV7,"{'count': 0, 'volume': 0}","{'count': 3, 'volume': 0.022307259999999815}","{'count': 4, 'volume': 0.026628949999999638}","{'count': 8, 'volume': 0.05759655999999981}","{'count': 5, 'volume': 0.034509159999999504}","{'count': 8, 'volume': 0.05780733999999908}","{'count': 9, 'volume': 0.06379195999999898}"
127nhFNxupfecLsfra7YfVRHcCdgm1U2Un,"{'count': 0, 'volume': 0}","{'count': 0, 'volume': 0}","{'count': 0, 'volume': 0}","{'count': 0, 'volume': 0}","{'count': 0, 'volume': 0}","{'count': 0, 'volume': 0}","{'count': 0, 'volume': 0}"
129Kph4uGQRkJkLEbYfevKFd4DyEss9AmX,"{'count': 0, 'volume': 0}","{'count': 4, 'volume': 0.02471687128646821}","{'count': 4, 'volume': 0.023348013786463187}","{'count': 4, 'volume': 0.023533595473110114}","{'count': 9, 'volume': 0.06568831603690356}","{'count': 9, 'volume': 0.06658268521511918}","{'count': 7, 'volume': 0.04369813624934627}"
12AaNQS3TfgBJJu5X6RVeWWQckb5LFNZGW,"{'count': 0, 'volume': 0}","{'count': 0, 'volume': 0}","{'count': 0, 'volume': 0}","{'count': 0, 'volume': 0}","{'count': 0, 'volume': 0}","{'count': 0, 'volume': 0}","{'count': 0, 'volume': 0}"
12DiXGQvXLv2wN1YZqQTtWQgQbVSpGxFF6,"{'count': 0, 'volume': 0}","{'count': 9, 'volume': 0.24320401792206287}","{'count': 12, 'volume': 0.2805553236802117}","{'count': 6, 'volume': 0.17577543546449256}","{'count': 12, 'volume': 0.32628392762838676}","{'count': 14, 'volume': 0.34805054832181026}","{'count': 16, 'volume': 0.41840077733781694}"
12G3MkXoRE4MfjdMAMyXDxm3qZ9GuLPwrm,"{'count': 0, 'volume': 0}","{'count': 1, 'volume': 0.04358700999999996}","{'count': 1, 'volume': 0.12460519666050322}","{'count': 1, 'volume': 0.04358700999999996}","{'count': 1, 'volume': 0.04358700999999996}","{'count': 1, 'volume': 0.04358700999999996}","{'count': 1, 'volume': 0.04358700999999996}"
12K2h1MTw9xhd9jHHQd1GiChUftTGCoc7W,"{'count': 0, 'volume': 0}","{'count': 3, 'volume': 0.6979536454383009}","{'count': 2, 'volume': 0.6633664130542695}","{'count': 2, 'volume': 0.6633664130542695}","{'count': 4, 'volume': 0.708089951420248}","{'count': 3, 'volume': 0.6997077983324622}","{'count': 4, 'volume': 0.7033653552269603}"
12PFq5cQ2U9Dd1sbq7ZFffK3oD8FSB3P1a,"{'count': 0, 'volume': 0}","{'count': 2, 'volume': 0.043713355356655714}","{'count': 3, 'volume': 0.06263517009853234}","{'count': 3, 'volume': 0.09651839461019558}","{'count': 2, 'volume': 0.0610542513591087}","{'count': 3, 'volume': 0.08818148914113076}","{'count': 4, 'volume': 0.105378482263737}"
12VrXCU6KAEBVwtYc3jrgX6BsbaZqpzRQw,"{'count': 0, 'volume': 0}","{'count': 6, 'volume': 0.7479605449506962}","{'count': 4, 'volume': 0.23336421029312435}","{'count': 4, 'volume': 0.3058061910880887}","{'count': 7, 'volume': 0.46289957088655104}","{'count': 8, 'volume': 0.7197051656404364}","{'count': 6, 'volume': 0.5437801496273847}"
12Wbvfg3Dn6s8x97Y7CaVsmessDfsYhiqK,"{'count': 0, 'volume': 0}","{'count': 0, 'volume': 0}","{'count': 1, 'volume': 0.2256887199999997}","{'count': 0, 'volume': 0}","{'count': 0, 'volume': 0}","{'count': 1, 'volume': 0.41497734000000014}","{'count': 0, 'volume': 0}"
12aJExNA8Ttg2jMRxMBSfz89yPGcCSQT9N,"{'count': 0, 'volume': 0}","{'count': 4, 'volume': 0.5339924676871245}","{'count': 4, 'volume': 0.5627675142082955}","{'count': 3, 'volume': 0.3737857710543485}","{'count': 3, 'volume': 0.2832204066905095}","{'count': 4, 'volume': 0.3480530151733306}","{'count': 3, 'volume': 0.2680677400546878}"
12aekEsRx42oRXDQafESpcGMt9pqJT4PfS,"{'count': 0, 'volume': 0}","{'count': 9, 'volume': 0.3058885244837694}","{'count': 9, 'volume': 0.30399955442966875}","{'count': 10, 'volume': 0.3758298391439513}","{'count': 12, 'volume': 0.3789675685044756}","{'count': 15, 'volume': 0.45675415806934033}","{'count': 15, 'volume': 0.4687127958562258}"
